id,title,author,publisher,quantity,created_at,category_id
2305,Shadow Puppets,Orson Scott Card,Personal,21,2024-06-05 21:03:13,7
2306,The Magician's Land,Lev Grossman,Personal,78,2024-06-05 21:03:13,11
2307,Light in August,William Faulkner,Personal,25,2024-06-05 21:03:13,1
2308,The Trumpet of the Swan,"E.B. White, Fred Marcellino",Personal,71,2024-06-05 21:03:13,8
2309,Tenth of December,George Saunders,Personal,48,2024-06-05 21:03:13,5
2310,Night Pleasures,Sherrilyn Kenyon,Personal,59,2024-06-05 21:03:13,8
2311,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"Thomas J. Stanley, William D. Danko",Personal,32,2024-06-05 21:03:13,3
2312,Don't Judge a Girl by Her Cover,Ally Carter,Personal,42,2024-06-05 21:03:13,5
2313,Chronicles: Volume One,Bob Dylan,Personal,55,2024-06-05 21:03:13,8
2314,The Lost Continent: Travels in Small-Town America,Bill Bryson,Personal,10,2024-06-05 21:03:13,9
2315,Dreams of Joy (Shanghai Girls #2),Lisa See,Personal,79,2024-06-05 21:03:13,8
2316,Tell Me Your Dreams,Sidney Sheldon,Personal,77,2024-06-05 21:03:13,1
2317,By the Shores of Silver Lake,"Laura Ingalls Wilder, Garth Williams",Personal,49,2024-06-05 21:03:13,9
2318,The Player of Games,Iain M. Banks,Personal,69,2024-06-05 21:03:13,3
2319,UNKNOWN_2325,"George Selden, Garth Williams",Personal,12,2024-06-05 21:03:13,8
2320,The Five Dysfunctions of a Team,Patrick Lencioni,Personal,12,2024-06-05 21:03:13,2
2321,Junky,"William S. Burroughs, Oliver  Harris, Allen Ginsberg",Personal,67,2024-06-05 21:03:13,8
2322,Getting to Yes: Negotiating agreement without giving in,"Roger Fisher, William Ury, Bruce Patton",Personal,15,2024-06-05 21:03:13,8
2323,Mile high (Up In The Air #2),R.K. Lilley,Personal,11,2024-06-05 21:03:13,4
2324,November 9,Colleen Hoover,Personal,61,2024-06-05 21:03:13,5
2325,Everything We Keep,Kerry Lonsdale,Personal,54,2024-06-05 21:03:13,4
2326,The Mighty Storm,Samantha Towle,Personal,75,2024-06-05 21:03:13,6
2327,The Song of Achilles,Madeline Miller,Personal,67,2024-06-05 21:03:13,1
2328,The Girl with the Lower Back Tattoo,Amy Schumer,Personal,76,2024-06-05 21:03:13,5
2329,भगवद्गीता [Bhagavadgītā],"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",Personal,66,2024-06-05 21:03:13,1
2330,The New York Trilogy,"Paul Auster, Art Spiegelman",Personal,78,2024-06-05 21:03:13,5
2331,Esperanza Rising,Pam Muñoz Ryan,Personal,73,2024-06-05 21:03:13,12
2332,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction",J.D. Salinger,Personal,44,2024-06-05 21:03:13,9
2333,Sex and the City,Candace Bushnell,Personal,76,2024-06-05 21:03:13,7
2334,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",Laurell K. Hamilton,Personal,55,2024-06-05 21:03:13,2
2335,Jenseits von Gut und Böse: Vorspiel einer Philosophie der Zukunft,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",Personal,40,2024-06-05 21:03:13,11
2336,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,Personal,63,2024-06-05 21:03:13,2
2337,Factotum,Charles Bukowski,Personal,61,2024-06-05 21:03:13,12
2338,The Immortal Rules,Julie Kagawa,Personal,41,2024-06-05 21:03:13,3
2339,Columbine,Dave Cullen,Personal,79,2024-06-05 21:03:13,12
2340,Lasher,Anne Rice,Personal,64,2024-06-05 21:03:13,2
2341,UNKNOWN_2347,Laila Ibrahim,Personal,46,2024-06-05 21:03:13,3
2342,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,"Mark Owen, Kevin Maurer",Personal,25,2024-06-05 21:03:13,6
2343,The Chaperone,Laura Moriarty,Personal,57,2024-06-05 21:03:13,2
2344,All That Remains,Patricia Cornwell,Personal,64,2024-06-05 21:03:13,5
2345,The Regulators,"Richard Bachman, Stephen King",Personal,27,2024-06-05 21:03:13,2
2346,The Sandman: Season of Mists,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",Personal,28,2024-06-05 21:03:13,1
2347,Judge & Jury,"James Patterson, Andrew Gross",Personal,73,2024-06-05 21:03:13,6
2348,Silas Marner: The Weaver of Raveloe,George Eliot,Personal,13,2024-06-05 21:03:13,6
2349,Origin,Jennifer L. Armentrout,Personal,74,2024-06-05 21:03:13,11
2350,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,Personal,63,2024-06-05 21:03:13,7
2351,Beautiful Redemption,"Kami Garcia, Margaret Stohl",Personal,31,2024-06-05 21:03:13,9
2352,The Distant Hours,Kate Morton,Personal,78,2024-06-05 21:03:13,3
2353,I Let You Go,Clare Mackintosh,Personal,17,2024-06-05 21:03:13,5
2354,Kidnapped,Robert Louis Stevenson,Personal,76,2024-06-05 21:03:13,3
2355,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger,Personal,48,2024-06-05 21:03:13,4
2356,Beautiful Boy: A Father's Journey Through His Son's Meth Addiction,David Sheff,Personal,61,2024-06-05 21:03:13,8
2357,"The Vincent Brothers (The Vincent Boys, #1)",Abbi Glines,Personal,69,2024-06-05 21:03:13,9
2358,The Cask of Amontillado,Edgar Allan Poe,Personal,54,2024-06-05 21:03:13,2
2359,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",Personal,28,2024-06-05 21:03:13,5
2360,In the Time of the Butterflies,Julia Alvarez,Personal,32,2024-06-05 21:03:13,11
2361,Gap Creek : The Story Of A Marriage (Oprah's Book Club),Robert Morgan,Personal,50,2024-06-05 21:03:13,3
2362,Half-Blood,Jennifer L. Armentrout,Personal,61,2024-06-05 21:03:13,10
2363,The Legend of Sleepy Hollow,"Bo Hampton, Tracey Hampton, Washington Irving",Personal,67,2024-06-05 21:03:13,4
2364,The Witness,Nora Roberts,Personal,16,2024-06-05 21:03:13,7
2365,Blindsighted,Karin Slaughter,Personal,45,2024-06-05 21:03:14,5
2366,Angle of Repose,Wallace Stegner,Personal,31,2024-06-05 21:03:14,10
2367,"Tinker, Tailor, Soldier, Spy",John le Carré,Personal,22,2024-06-05 21:03:14,1
2368,Lord Brocktree,Brian Jacques,Personal,17,2024-06-05 21:03:14,2
2369,Through the Ever Night,Veronica Rossi,Personal,10,2024-06-05 21:03:14,6
2370,Barefoot,Elin Hilderbrand,Personal,66,2024-06-05 21:03:14,7
2371,My Friend Leonard,James Frey,Personal,75,2024-06-05 21:03:14,4
2372,Cat on a Hot Tin Roof,Tennessee Williams,Personal,66,2024-06-05 21:03:14,11
2373,The Final Warning,James Patterson,Personal,42,2024-06-05 21:03:14,11
2374,The Golden Fool,Robin Hobb,Personal,38,2024-06-05 21:03:14,3
2375,Split Second,David Baldacci,Personal,61,2024-06-05 21:03:14,5
2376,The Fifth Witness,Michael Connelly,Personal,28,2024-06-05 21:03:14,9
2377,The Dragonbone Chair,Tad Williams,Personal,18,2024-06-05 21:03:14,12
2378,UNKNOWN_2385,Marjane Satrapi,Personal,13,2024-06-05 21:03:14,3
2379,At Home in Mitford (Mitford Years #1),Jan Karon,Personal,35,2024-06-05 21:03:14,11
2380,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Personal,39,2024-06-05 21:03:14,7
2381,Scorpia,Anthony Horowitz,Personal,19,2024-06-05 21:03:14,6
2382,The Queen of the Tearling,Erika Johansen,Personal,75,2024-06-05 21:03:14,6
2383,"One False Note (The 39 Clues, Book 2)",Gordon Korman,Personal,70,2024-06-05 21:03:14,5
2384,Tithe: A Modern Faerie Tale,Holly Black,Personal,36,2024-06-05 21:03:14,6
2385,Echo Burning,Lee Child,Personal,60,2024-06-05 21:03:14,6
2386,The Fury and Dark Reunion,L.J. Smith,Personal,74,2024-06-05 21:03:14,9
2387,Never Never,"Colleen Hoover, Tarryn Fisher",Personal,64,2024-06-05 21:03:14,8
2388,Into the Darkest Corner,Elizabeth Haynes,Personal,12,2024-06-05 21:03:14,7
2389,The Further Adventures of Sherlock Holmes (Classic Crime),"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",Personal,24,2024-06-05 21:03:14,1
2390,Roses Are Red,James Patterson,Personal,28,2024-06-05 21:03:14,2
2391,"Naked Empire (Sword of Truth, #8)",Terry Goodkind,Personal,51,2024-06-05 21:03:14,7
2392,Map of Bones,James Rollins,Personal,68,2024-06-05 21:03:14,5
2393,The Stranger,Harlan Coben,Personal,15,2024-06-05 21:03:14,8
2394,Unbelievable,Sara Shepard,Personal,14,2024-06-05 21:03:14,12
2395,A Passage to India,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",Personal,20,2024-06-05 21:03:14,1
2396,Seraphina,Rachel Hartman,Personal,51,2024-06-05 21:03:14,8
2397,Morrigan's Cross,Nora Roberts,Personal,50,2024-06-05 21:03:14,11
2398,The Mammoth Hunters,Jean M. Auel,Personal,72,2024-06-05 21:03:14,5
2399,Princeps' Fury,Jim Butcher,Personal,69,2024-06-05 21:03:14,10
2400,Love Story,Erich Segal,Personal,61,2024-06-05 21:03:14,12
2401,Chrysanthemum,Kevin Henkes,Personal,34,2024-06-05 21:03:14,11
2402,Sweet Evil,Wendy Higgins,Personal,16,2024-06-05 21:03:14,10
2403,The Winds of War,Herman Wouk,Personal,20,2024-06-05 21:03:14,11
2404,The Wind Through the Keyhole,"Stephen King, Jae Lee",Personal,60,2024-06-05 21:03:14,11
2405,The Last Kingdom,Bernard Cornwell,Personal,51,2024-06-05 21:03:14,2
2406,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,Personal,22,2024-06-05 21:03:14,11
2407,Bunnicula: A Rabbit-Tale of Mystery,"James Howe, Deborah Howe, Alan Daniel",Personal,61,2024-06-05 21:03:14,8
2408,Exile ,R.A. Salvatore,Personal,65,2024-06-05 21:03:14,5
2409,Ascend,Amanda Hocking,Personal,69,2024-06-05 21:03:14,12
2410,Kvinden i buret,"Jussi Adler-Olsen, Lisa Hartford",Personal,40,2024-06-05 21:03:14,2
2411,Del amor y otros demonios,Gabriel García Márquez,Personal,26,2024-06-05 21:03:14,10
2412,UNKNOWN_2419,Rick Riordan,Personal,28,2024-06-05 21:03:14,5
2413,Musicophilia: Tales of Music and the Brain,Oliver Sacks,Personal,43,2024-06-05 21:03:14,7
2414,End of Watch,Stephen King,Personal,68,2024-06-05 21:03:14,1
2415,Fool,Christopher Moore,Personal,60,2024-06-05 21:03:14,5
2416,The Book of Lost Things,John Connolly,Personal,17,2024-06-05 21:03:14,7
2417,My Life,Bill Clinton,Personal,70,2024-06-05 21:03:14,2
2418,300,"Frank Miller, Lynn Varley",Personal,67,2024-06-05 21:03:14,12
2419,Storm Warning,Linda Sue Park,Personal,24,2024-06-05 21:03:14,6
2420,Only the Good Spy Young,Ally Carter,Personal,60,2024-06-05 21:03:14,9
2421,The Persuader,Lee Child,Personal,26,2024-06-05 21:03:14,2
2422,UNKNOWN_2429,Charlaine Harris,Personal,48,2024-06-05 21:03:14,9
2423,Flaggermusmannen,"Jo Nesbø, Don Bartlett",Personal,11,2024-06-05 21:03:14,10
2424,"Blood Brothers (Sign of Seven, #1)",Nora Roberts,Personal,23,2024-06-05 21:03:14,1
2425,Picture Perfect,Jodi Picoult,Personal,69,2024-06-05 21:03:14,4
2426,るろうに剣心 1,"Nobuhiro Watsuki, Kenichiro Yagi",Personal,51,2024-06-05 21:03:14,2
2427,Catching Jordan,Miranda Kenneally,Personal,57,2024-06-05 21:03:14,4
2428,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,Personal,74,2024-06-05 21:03:14,8
2429,This Girl,Colleen Hoover,Personal,20,2024-06-05 21:03:14,10
2430,There Was an Old Lady Who Swallowed a Fly,Simms Taback,Personal,50,2024-06-05 21:03:14,5
2431,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,Personal,11,2024-06-05 21:03:14,1
2432,The Satanic Verses,Salman Rushdie,Personal,44,2024-06-05 21:03:14,3
2433,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,Personal,48,2024-06-05 21:03:14,1
2434,Winning,"Jack Welch, Suzy Welch",Personal,76,2024-06-05 21:03:14,6
2435,Collide,Gail McHugh,Personal,18,2024-06-05 21:03:14,3
2436,How We Decide,Jonah Lehrer,Personal,31,2024-06-05 21:03:14,3
2437,The Beekeeper's Apprentice,Laurie R. King,Personal,46,2024-06-05 21:03:14,8
2438,"Histoire de Babar, le petit éléphant","Jean de Brunhoff, Merle S. Haas",Personal,16,2024-06-05 21:03:14,7
2439,The Warlock,Michael Scott,Personal,80,2024-06-05 21:03:14,2
2440,First Lord's Fury,Jim Butcher,Personal,45,2024-06-05 21:03:14,6
2441,The Imperfectionists,Tom Rachman,Personal,70,2024-06-05 21:03:14,4
2442,The Sea of Tranquility,Katja Millay,Personal,68,2024-06-05 21:03:14,8
2443,Persepolis 2 ,"Marjane Satrapi, Anjali Singh",Personal,76,2024-06-05 21:03:14,7
2444,Pyramids,Terry Pratchett,Personal,29,2024-06-05 21:03:14,5
2445,Silverthorn,Raymond E. Feist,Personal,58,2024-06-05 21:03:14,7
2446,Before I Die,Jenny Downham,Personal,42,2024-06-05 21:03:14,12
2447,Committed: A Skeptic Makes Peace with Marriage,Elizabeth Gilbert,Personal,55,2024-06-05 21:03:14,8
2448,Keeping the Moon,Sarah Dessen,Personal,66,2024-06-05 21:03:14,10
2449,Four: The Transfer,Veronica Roth,Personal,61,2024-06-05 21:03:14,3
2450,"Chainfire (Sword of Truth, #9)",Terry Goodkind,Personal,43,2024-06-05 21:03:14,1
2451,Mastering the Art of French Cooking,"Julia Child, Simone Beck, Louisette Bertholle",Personal,59,2024-06-05 21:03:14,2
2452,青の祓魔師 1,"Kazue Kato, John Werry",Personal,69,2024-06-05 21:03:14,9
2453,"Confessor (Sword of Truth, #11)",Terry Goodkind,Personal,64,2024-06-05 21:03:14,4
2454,The Reluctant Fundamentalist,Mohsin Hamid,Personal,24,2024-06-05 21:03:14,11
2455,The False Prince,Jennifer A. Nielsen,Personal,77,2024-06-05 21:03:14,6
2456,"Rabbit, Run",John Updike,Personal,34,2024-06-05 21:03:14,1
2457,Stumbling on Happiness,Daniel Todd Gilbert,Personal,10,2024-06-05 21:03:14,5
2458,The Waste Land and Other Poems,T.S. Eliot,Personal,33,2024-06-05 21:03:14,3
2459,Little Bear,"Else Holmelund Minarik, Maurice Sendak",Personal,49,2024-06-05 21:03:14,1
2460,The Pit and the Pendulum,Edgar Allan Poe,Personal,72,2024-06-05 21:03:14,3
2461,Lords and Ladies,Terry Pratchett,Personal,64,2024-06-05 21:03:14,11
2462,Thud!,Terry Pratchett,Personal,30,2024-06-05 21:03:14,8
2463,His Majesty's Dragon,Naomi Novik,Personal,62,2024-06-05 21:03:14,3
2464,The Field Guide,"Holly Black, Tony DiTerlizzi",Personal,64,2024-06-05 21:03:14,8
2465,UNKNOWN_2472,David Platt,Personal,33,2024-06-05 21:03:14,9
2466,The 48 Laws of Power,"Robert Greene, Joost Elffers",Personal,46,2024-06-05 21:03:14,7
2467,My Side of the Mountain ,Jean Craighead George,Personal,76,2024-06-05 21:03:14,9
2468,The Winter Sea,"Susanna Kearsley, Rosalyn Landor",Personal,62,2024-06-05 21:03:14,5
2469,The Sword Thief,Peter Lerangis,Personal,29,2024-06-05 21:03:14,5
2470,Coma,Robin Cook,Personal,17,2024-06-05 21:03:14,4
2471,Requiem for a Dream,"Hubert Selby Jr., Darren Aronofsky, Richard Price",Personal,31,2024-06-05 21:03:14,11
2473,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,Personal,12,2024-06-05 21:03:14,10
2474,Śmierć Miasta ,"Władysław Szpilman, Anthea Bell",Personal,73,2024-06-05 21:03:14,12
2475,Rush,Maya Banks,Personal,24,2024-06-05 21:03:14,10
2476,The Picture of Dorian Gray: A Graphic Novel ,"Ian Edginton, Oscar Wilde, I.N.J. Culbard",Personal,48,2024-06-05 21:03:14,1
2477,Swan Song,Robert McCammon,Personal,72,2024-06-05 21:03:14,10
2478,The Buried Giant,Kazuo Ishiguro,Personal,23,2024-06-05 21:03:14,9
2479,Perdido Street Station,China Miéville,Personal,19,2024-06-05 21:03:14,8
2480,Need,Carrie Jones,Personal,10,2024-06-05 21:03:14,4
2481,Witches Abroad,Terry Pratchett,Personal,19,2024-06-05 21:03:14,3
2482,"The Sketch Book of Geoffrey Crayon, Gent","Geoffrey Crayon, Washington Irving, William L. Hedges",Personal,36,2024-06-05 21:03:14,3
2483,Heretics of Dune,Frank Herbert,Personal,50,2024-06-05 21:03:14,10
2484,The Cross and the Switchblade,"David Wilkerson, John Sherrill, Elizabeth Sherrill",Personal,12,2024-06-05 21:03:14,7
2485,Captain's Fury,Jim Butcher,Personal,29,2024-06-05 21:03:14,1
2486,Damned,Chuck Palahniuk,Personal,18,2024-06-05 21:03:14,3
2487,Rules,Cynthia Lord,Personal,17,2024-06-05 21:03:14,2
2488,Swamplandia!,Karen Russell,Personal,42,2024-06-05 21:03:14,1
2489,The Last Coyote,Michael Connelly,Personal,66,2024-06-05 21:03:14,6
2490,Salt: A World History,Mark Kurlansky,Personal,17,2024-06-05 21:03:14,8
2491,Villette,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",Personal,38,2024-06-05 21:03:14,11
2492,Reamde,Neal Stephenson,Personal,26,2024-06-05 21:03:14,6
2493,Soul Music,Terry Pratchett,Personal,68,2024-06-05 21:03:14,3
2494,Notorious Nineteen,Janet Evanovich,Personal,46,2024-06-05 21:03:14,12
2495,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,Personal,53,2024-06-05 21:03:14,10
2496,Sin City Volume 1: The Hard Goodbye,Frank Miller,Personal,35,2024-06-05 21:03:14,6
2497,The Greatest Salesman in the World,Og Mandino,Personal,37,2024-06-05 21:03:14,3
2498,Casino Royale,Ian Fleming,Personal,72,2024-06-05 21:03:14,8
2499,The Bronze Horseman,Paullina Simons,Personal,20,2024-06-05 21:03:14,2
2500,Sula,Toni Morrison,Personal,27,2024-06-05 21:03:14,5
2501,The Atlantis Gene,A.G. Riddle,Personal,56,2024-06-05 21:03:14,10
2502,The Red Queen,Philippa Gregory,Personal,28,2024-06-05 21:03:14,7
2503,Something About You,Julie James,Personal,42,2024-06-05 21:03:14,9
2504,Mr. Brown Can Moo! Can You?,Dr. Seuss,Personal,76,2024-06-05 21:03:14,5
2505,Black House ,"Stephen King, Peter Straub",Personal,56,2024-06-05 21:03:14,3
2506,Marvel 1602,"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",Personal,32,2024-06-05 21:03:14,5
2507,Act of Treason,Vince Flynn,Personal,29,2024-06-05 21:03:14,1
2508,The Dog Stars,Peter Heller,Personal,22,2024-06-05 21:03:14,7
2509,The Spy Who Came In from the Cold,John le Carré,Personal,67,2024-06-05 21:03:14,4
2510,Academ's Fury,Jim Butcher,Personal,53,2024-06-05 21:03:15,6
2511,When the Wind Blows,James Patterson,Personal,13,2024-06-05 21:03:15,8
2512,1Q84 Book 1 [Ichi-kyū-hachi-yon],"Haruki Murakami, 村上 春樹",Personal,54,2024-06-05 21:03:15,4
2513,O Diário de um Mago,"Paulo Coelho, Alan R. Clarke",Personal,50,2024-06-05 21:03:15,9
2514,The Hard Way,Lee Child,Personal,26,2024-06-05 21:03:15,7
2515,The Incredible Journey,Sheila Burnford,Personal,80,2024-06-05 21:03:15,5
2516,March,Geraldine Brooks,Personal,44,2024-06-05 21:03:15,3
2517,A Wanted Man,"Lee Child, Dick Hill",Personal,56,2024-06-05 21:03:15,8
2518,All-Star Superman (Volume 1),"Grant Morrison, Frank Quitely",Personal,80,2024-06-05 21:03:15,12
2519,A Song of Ice and Fire,George R.R. Martin,Personal,35,2024-06-05 21:03:15,7
2520,Dark Witch,Nora Roberts,Personal,33,2024-06-05 21:03:15,8
2521,Dark Flame,Alyson Noel,Personal,31,2024-06-05 21:03:15,8
2522,The Widow,Fiona Barton,Personal,24,2024-06-05 21:03:15,12
2523,The Black Circle,Patrick Carman,Personal,11,2024-06-05 21:03:15,2
2524,The Prince,Kiera Cass,Personal,64,2024-06-05 21:03:15,4
2525,The Winner's Curse,Marie Rutkoski,Personal,11,2024-06-05 21:03:15,3
2526,Push,Sapphire,Personal,22,2024-06-05 21:03:15,1
2527,Storia del nuovo cognome,"Elena Ferrante, Ann Goldstein",Personal,66,2024-06-05 21:03:15,4
2528,2010: Odyssey Two,Arthur C. Clarke,Personal,22,2024-06-05 21:03:15,5
2529,ソウルイーター 1,Atsushi Ohkubo,Personal,17,2024-06-05 21:03:15,3
2530,Ordinary Grace,William Kent Krueger,Personal,17,2024-06-05 21:03:15,2
2531,Last Man Standing,David Baldacci,Personal,14,2024-06-05 21:03:15,2
2532,American Born Chinese,Gene Luen Yang,Personal,73,2024-06-05 21:03:15,1
2533,Peter Pan (Little Golden Book),"Eugene Bradley Coco, Ron Dias, Walt Disney Company",Personal,28,2024-06-05 21:03:15,3
2534,Ten Tiny Breaths,K.A. Tucker,Personal,54,2024-06-05 21:03:15,3
2535,The Thousand Autumns of Jacob de Zoet,David Mitchell,Personal,12,2024-06-05 21:03:15,10
2536,The Tragical History of the Life and Death of Doctor Faustus,Christopher Marlowe,Personal,22,2024-06-05 21:03:15,10
2537,Dance with the Devil,Sherrilyn Kenyon,Personal,69,2024-06-05 21:03:15,7
2538,Lipstick Jungle,Candace Bushnell,Personal,43,2024-06-05 21:03:15,3
2539,Violets Are Blue,James Patterson,Personal,28,2024-06-05 21:03:15,6
2540,"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton,Personal,71,2024-06-05 21:03:15,5
2541,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",Laurell K. Hamilton,Personal,20,2024-06-05 21:03:15,2
2542,The Silent Sister,Diane Chamberlain,Personal,19,2024-06-05 21:03:15,9
2543,Player Piano,Kurt Vonnegut Jr.,Personal,11,2024-06-05 21:03:15,12
2544,The Lost World ,Arthur Conan Doyle,Personal,76,2024-06-05 21:03:15,2
2545,Monstrous Regiment,Terry Pratchett,Personal,53,2024-06-05 21:03:15,6
2546,Kindred,Octavia E. Butler,Personal,63,2024-06-05 21:03:15,2
2547,"The Long Winter (Little House, #6)","Laura Ingalls Wilder, Garth Williams",Personal,76,2024-06-05 21:03:15,6
2548,Boundaries,"Henry Cloud, John Townsend",Personal,79,2024-06-05 21:03:15,2
2549,"Blue Lily, Lily Blue",Maggie Stiefvater,Personal,43,2024-06-05 21:03:15,8
2550,Portnoy's Complaint,"Philip Roth, Luca Marinelli",Personal,18,2024-06-05 21:03:15,12
2551,The 21 Irrefutable Laws of Leadership,"John C. Maxwell, Zig Ziglar",Personal,40,2024-06-05 21:03:15,2
2552,Cat's Eye,Margaret Atwood,Personal,70,2024-06-05 21:03:15,7
2553,The Perfect Game,J. Sterling,Personal,16,2024-06-05 21:03:15,12
2554,Monsters of Men,Patrick Ness,Personal,25,2024-06-05 21:03:15,1
2555,Shadow of the Giant,Orson Scott Card,Personal,14,2024-06-05 21:03:15,5
2556,Wonderstruck,Brian Selznick,Personal,24,2024-06-05 21:03:15,2
2557,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,Personal,12,2024-06-05 21:03:15,12
2558,Blood Red Road ,Moira Young,Personal,67,2024-06-05 21:03:15,2
2559,The 6th Target,"James Patterson, Maxine Paetro",Personal,63,2024-06-05 21:03:15,6
2560,A Princess of Mars,"Edgar Rice Burroughs, John Seelye",Personal,76,2024-06-05 21:03:15,7
2561,MaddAddam,Margaret Atwood,Personal,51,2024-06-05 21:03:15,4
2562,These Happy Golden Years,"Laura Ingalls Wilder, Garth Williams",Personal,39,2024-06-05 21:03:15,4
2563,Color: A Natural History of the Palette,Victoria Finlay,Personal,63,2024-06-05 21:03:15,1
2564,Skipping Christmas,John Grisham,Personal,24,2024-06-05 21:03:15,11
2565,UNKNOWN_2573,Michael Connelly,Personal,75,2024-06-05 21:03:15,9
2566,Home Front,Kristin Hannah,Personal,26,2024-06-05 21:03:15,6
2567,Beautiful Stranger,Christina Lauren,Personal,10,2024-06-05 21:03:15,12
2568,The Sweet Far Thing,Libba Bray,Personal,37,2024-06-05 21:03:15,6
2569,A Lesson Before Dying,Ernest J. Gaines,Personal,11,2024-06-05 21:03:15,10
2570,SantaLand Diaries,David Sedaris,Personal,75,2024-06-05 21:03:15,5
2571,See Me,Nicholas Sparks,Personal,31,2024-06-05 21:03:15,12
2572,Mini Shopaholic,Sophie Kinsella,Personal,36,2024-06-05 21:03:15,5
2573,UNKNOWN_2581,"Gene Zion, Margaret Bloy Graham",Personal,17,2024-06-05 21:03:15,1
2574,UNKNOWN_2582,Jennifer Weiner,Personal,37,2024-06-05 21:03:15,9
2575,Down and Out in Paris and London,George Orwell,Personal,54,2024-06-05 21:03:15,4
2576,会長はメイド様! 1,Hiro Fujiwara,Personal,69,2024-06-05 21:03:15,2
2577,Griffin & Sabine: An Extraordinary Correspondence,Nick Bantock,Personal,12,2024-06-05 21:03:15,3
2578,Ruin and Rising,Leigh Bardugo,Personal,43,2024-06-05 21:03:15,11
2579,يوتوبيا,أحمد خالد توفيق,Personal,30,2024-06-05 21:03:15,6
2580,Certain Girls,Jennifer Weiner,Personal,75,2024-06-05 21:03:15,11
2581,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,Personal,14,2024-06-05 21:03:15,7
2582,Beyond the Highland Mist,Karen Marie Moning,Personal,73,2024-06-05 21:03:15,1
2583,The Stranger Beside Me,Ann Rule,Personal,80,2024-06-05 21:03:15,12
2584,Stargazer,Claudia Gray,Personal,28,2024-06-05 21:03:15,6
2585,Rising Sun,Michael Crichton,Personal,76,2024-06-05 21:03:15,5
2586,The Other Side of Midnight,Sidney Sheldon,Personal,61,2024-06-05 21:03:15,2
2587,The Reversal,Michael Connelly,Personal,67,2024-06-05 21:03:15,4
2588,Wayside School is Falling Down,"Louis Sachar, Joel Schick",Personal,75,2024-06-05 21:03:15,4
2589,The Invisible Bridge,"Julie Orringer, Arthur Morey",Personal,19,2024-06-05 21:03:15,11
2590,The Fall of Five,Pittacus Lore,Personal,15,2024-06-05 21:03:15,3
2591,The Mayor of Casterbridge,"Thomas Hardy, Keith Wilson",Personal,77,2024-06-05 21:03:15,2
2592,The Red Pony,John Steinbeck,Personal,23,2024-06-05 21:03:15,3
2593,Marekors ,Jo Nesbø,Personal,52,2024-06-05 21:03:15,4
2594,Here on Earth ,Alice Hoffman,Personal,24,2024-06-05 21:03:15,3
2595,Taltos,"Anne Rice, Tim Curry",Personal,67,2024-06-05 21:03:15,6
2596,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",Laurell K. Hamilton,Personal,55,2024-06-05 21:03:15,11
2597,The Daylight War,Peter V. Brett,Personal,69,2024-06-05 21:03:15,9
2598,The Appeal,John Grisham,Personal,23,2024-06-05 21:03:15,9
2599,The Woman Who Rides Like a Man,Tamora Pierce,Personal,58,2024-06-05 21:03:15,11
2600,Rivers of London,Ben Aaronovitch,Personal,53,2024-06-05 21:03:15,7
2601,Lucy Sullivan is Getting Married,Marian Keyes,Personal,24,2024-06-05 21:03:15,12
2602,A Hat Full of Sky,Terry Pratchett,Personal,53,2024-06-05 21:03:15,9
2603,A Suitable Boy,Vikram Seth,Personal,71,2024-06-05 21:03:15,9
2604,We Should All Be Feminists,Chimamanda Ngozi Adichie,Personal,12,2024-06-05 21:03:15,9
2605,River Marked,Patricia Briggs,Personal,17,2024-06-05 21:03:15,8
